"Date","YearFct","Region","NonDetect","Low","Moderate","High","VeryHigh","InvalidOrMissing","DOY"
2019-06-03,"2019","Franks Tract",130,0,0,0,0,36,154
2019-06-03,"2019","Mildred Island",30,0,0,0,0,12,154
2019-06-03,"2019","Clifton Court Forebay",91,0,0,0,0,18,154
2019-06-03,"2019","Liberty Island",114,0,0,0,0,30,154
2019-06-04,"2019","Franks Tract",113,0,0,0,0,53,155
2019-06-04,"2019","Mildred Island",17,0,0,0,0,25,155
2019-06-04,"2019","Clifton Court Forebay",74,0,0,0,0,35,155
2019-06-04,"2019","Liberty Island",100,0,0,0,0,44,155
2019-06-07,"2019","Franks Tract",129,0,0,0,0,37,158
2019-06-07,"2019","Mildred Island",28,0,0,0,0,14,158
2019-06-07,"2019","Clifton Court Forebay",89,0,0,0,0,20,158
2019-06-07,"2019","Liberty Island",114,0,0,0,0,30,158
2019-06-08,"2019","Franks Tract",64,0,0,0,0,102,159
2019-06-08,"2019","Clifton Court Forebay",82,0,2,0,0,25,159
2019-06-08,"2019","Liberty Island",125,0,0,0,0,19,159
2019-06-11,"2019","Franks Tract",121,0,0,0,0,45,162
2019-06-11,"2019","Mildred Island",24,0,0,0,0,18,162
2019-06-11,"2019","Clifton Court Forebay",82,0,0,0,0,27,162
2019-06-11,"2019","Liberty Island",103,0,0,0,0,41,162
2019-06-12,"2019","Franks Tract",98,0,0,0,0,68,163
2019-06-12,"2019","Mildred Island",17,0,0,0,0,25,163
2019-06-12,"2019","Clifton Court Forebay",75,0,0,0,0,34,163
2019-06-12,"2019","Liberty Island",57,0,0,0,0,87,163
2019-06-15,"2019","Franks Tract",134,0,0,0,0,32,166
2019-06-15,"2019","Mildred Island",20,0,0,0,0,22,166
2019-06-15,"2019","Clifton Court Forebay",82,0,1,0,0,26,166
2019-06-15,"2019","Liberty Island",115,0,0,0,0,29,166
2019-06-16,"2019","Franks Tract",102,0,0,0,0,64,167
2019-06-16,"2019","Mildred Island",16,0,0,0,0,26,167
2019-06-16,"2019","Clifton Court Forebay",80,0,0,0,0,29,167
2019-06-16,"2019","Liberty Island",100,0,0,0,0,44,167
2019-06-18,"2019","Franks Tract",51,0,0,0,0,115,169
2019-06-18,"2019","Liberty Island",51,0,0,0,0,93,169
2019-06-19,"2019","Franks Tract",131,0,0,0,0,35,170
2019-06-19,"2019","Mildred Island",26,0,0,0,0,16,170
2019-06-19,"2019","Clifton Court Forebay",87,0,0,0,0,22,170
2019-06-19,"2019","Liberty Island",117,0,0,0,0,27,170
2019-06-20,"2019","Franks Tract",97,0,0,0,0,69,171
2019-06-20,"2019","Mildred Island",11,0,0,0,0,31,171
2019-06-20,"2019","Clifton Court Forebay",69,0,0,0,0,40,171
2019-06-20,"2019","Liberty Island",103,0,0,0,0,41,171
2019-06-22,"2019","Franks Tract",129,0,1,2,0,34,173
2019-06-22,"2019","Mildred Island",31,0,0,0,0,11,173
2019-06-22,"2019","Clifton Court Forebay",76,0,0,0,0,33,173
2019-06-22,"2019","Liberty Island",120,0,1,0,0,23,173
2019-06-23,"2019","Franks Tract",125,0,0,0,0,41,174
2019-06-23,"2019","Mildred Island",26,0,0,0,0,16,174
2019-06-23,"2019","Clifton Court Forebay",82,0,0,0,0,27,174
2019-06-23,"2019","Liberty Island",115,0,0,0,0,29,174
2019-06-26,"2019","Franks Tract",130,0,0,0,0,36,177
2019-06-26,"2019","Mildred Island",31,0,0,0,0,11,177
2019-06-26,"2019","Clifton Court Forebay",88,0,0,1,0,20,177
2019-06-26,"2019","Liberty Island",121,0,0,0,0,23,177
