Date,Region,NonDetect,Low,Moderate,High,InvalidOrMissing
2021-11-07,Liberty Island,98,3,5,4,34
2021-11-11,Franks Tract,120,0,0,0,46
2021-11-11,Mildred Island,21,0,0,0,21
2021-11-11,Clifton Court Forebay,78,0,0,0,31
2021-11-11,Liberty Island,95,0,0,0,49
2021-11-21,Liberty Island,116,0,2,1,25
2021-11-22,Franks Tract,58,0,0,0,108
2021-11-22,Mildred Island,22,0,0,0,20
2021-11-22,Clifton Court Forebay,80,0,1,1,27
2021-11-22,Liberty Island,100,0,2,4,38
2021-11-23,Franks Tract,107,0,0,0,59
2021-11-23,Clifton Court Forebay,55,0,0,0,54
2021-11-25,Franks Tract,109,0,0,0,57
2021-11-25,Mildred Island,24,0,0,0,18
2021-11-25,Clifton Court Forebay,87,0,1,0,21
2021-11-25,Liberty Island,89,1,1,3,50
2021-11-26,Franks Tract,114,0,0,1,51
2021-11-26,Mildred Island,19,0,0,0,23
2021-11-26,Clifton Court Forebay,83,1,1,0,24
2021-11-26,Liberty Island,109,0,0,0,35
2021-11-27,Franks Tract,93,0,0,0,73
2021-11-27,Clifton Court Forebay,65,0,0,0,44
2021-11-27,Liberty Island,90,0,0,0,54
2021-11-29,Franks Tract,66,0,0,0,100
2021-11-29,Mildred Island,22,0,0,0,20
2021-11-29,Clifton Court Forebay,86,0,0,0,23
2021-11-29,Liberty Island,111,0,1,0,32
2021-11-30,Franks Tract,104,0,0,0,62
2021-11-30,Mildred Island,19,0,0,0,23
2021-11-30,Clifton Court Forebay,83,0,0,0,26
