contrast,estimate,SE,df,z.ratio,p.value
fYear2018 - fYear2019,1.248,0.154,Inf,8.101,6.772360450213455e-14
fYear2018 - fYear2020,-0.648,0.157,Inf,-4.135,3.4194808626586415e-4
fYear2018 - fYear2021,-0.084,0.151,Inf,-0.557,0.981088587974452
fYear2018 - fYear2022,-0.713,0.164,Inf,-4.336,1.410182262495674e-4
fYear2019 - fYear2020,-1.896,0.166,Inf,-11.405,0
fYear2019 - fYear2021,-1.333,0.16,Inf,-8.345,5.3512749786932545e-14
fYear2019 - fYear2022,-1.961,0.173,Inf,-11.309,6.661338147750939e-15
fYear2020 - fYear2021,0.564,0.161,Inf,3.494,0.004339041333784377
fYear2020 - fYear2022,-0.065,0.173,Inf,-0.374,0.9958344912583352
fYear2021 - fYear2022,-0.628,0.169,Inf,-3.718,0.001878763575034248
(Cache/Liberty) - East Delta,-1.458,0.26,Inf,-5.611,5.61292288869808e-7
(Cache/Liberty) - Franks,-3.992,0.275,Inf,-14.532,0
(Cache/Liberty) - Lower Sac,-1.891,0.208,Inf,-9.083,1.0380585280245214e-13
(Cache/Liberty) - Lower SJ,-3.391,0.215,Inf,-15.79,0
(Cache/Liberty) - OMR,-3.326,0.233,Inf,-14.289,0
(Cache/Liberty) - South Delta,-2.603,0.193,Inf,-13.496,0
(Cache/Liberty) - Upper Sac,0.827,0.369,Inf,2.239,0.328060810552272
East Delta - Franks,-2.535,0.291,Inf,-8.716,6.417089082333405e-14
East Delta - Lower Sac,-0.434,0.23,Inf,-1.883,0.5624354574618564
East Delta - Lower SJ,-1.933,0.235,Inf,-8.227,9.64783808399261e-14
East Delta - OMR,-1.869,0.252,Inf,-7.42,3.321676267376006e-12
East Delta - South Delta,-1.146,0.216,Inf,-5.296,3.2851802906908034e-6
East Delta - Upper Sac,2.285,0.383,Inf,5.965,6.81607907893067e-8
Franks - Lower Sac,2.101,0.245,Inf,8.565,7.338574192772285e-14
Franks - Lower SJ,0.601,0.246,Inf,2.443,0.22073138151702953
Franks - OMR,0.666,0.263,Inf,2.534,0.18093070835421288
Franks - South Delta,1.389,0.231,Inf,6.017,4.955520904736943e-8
Franks - Upper Sac,4.819,0.393,Inf,12.251,0
Lower Sac - Lower SJ,-1.5,0.176,Inf,-8.522,7.527312106958561e-14
Lower Sac - OMR,-1.435,0.198,Inf,-7.252,1.1580958414469933e-11
Lower Sac - South Delta,-0.712,0.15,Inf,-4.742,5.7653361179910156e-5
Lower Sac - Upper Sac,2.718,0.35,Inf,7.766,2.737809978725636e-13
Lower SJ - OMR,0.065,0.201,Inf,0.322,0.9999828722679021
Lower SJ - South Delta,0.787,0.156,Inf,5.05,1.2209814838182176e-5
Lower SJ - Upper Sac,4.218,0.354,Inf,11.911,0
OMR - South Delta,0.723,0.18,Inf,4.009,0.0015725898284787432
OMR - Upper Sac,4.153,0.365,Inf,11.37,0
South Delta - Upper Sac,3.43,0.341,Inf,10.057,9.059419880941277e-14
