Month,Min_Outflow_Frank's Tract,Min_Outflow_Liberty Island,Min_Outflow_Mildred Island,Max_Outflow_Frank's Tract,Max_Outflow_Liberty Island,Max_Outflow_Mildred Island,Mean_Outflow_Frank's Tract,Mean_Outflow_Liberty Island,Mean_Outflow_Mildred Island,SD_Outflow_Frank's Tract,SD_Outflow_Liberty Island,SD_Outflow_Mildred Island
Mar,-1318.39,-3831.57,-3073.42,1168.04,768.29,339.54,-193.28,-1426.59,-1259.5,525,729,719
Apr,-1527.91,-2532.97,-2284.48,224.88,910.9,3403.8,-514.46,-1450.68,-379.45,434,736,1274
May,-1795.47,-2590.62,-2085.22,170.06,-572.12,2798,-809.67,-1681.36,-671.78,433,475,1019
Jun,-2214.46,-2479.99,-2295.68,-10.94,-1223.72,1945.03,-688.33,-1723.97,-896.02,398,295,877
Jul,-1672.79,-2676.07,-2728.95,367.8,-806.69,-127.29,-971.49,-1956.29,-1836.87,426,423,532
Aug,-2164.9,-2582.49,-3305.62,-131.61,-1465.24,-1263.82,-1077.95,-2074.36,-2266.05,524,274,523
Sep,-1962.52,-2623.74,-4036.31,2315.14,1163.67,91.16,-830.88,-1774.15,-2200.16,796,655,955
