Station,Date,Year,Month,Analyte,Result,Study,Stratum2,Advisory,lon,lat
375952121243601,2022-07-20,2022,7,Anabaenopeptins,0,USGS,South Delta,NA,-121.4100417,37.99765556
375952121243601,2022-07-20,2022,7,Anatoxins,0,USGS,South Delta,No Advisory,-121.4100417,37.99765556
375952121243601,2022-07-20,2022,7,Cylindrospermopsins,0,USGS,South Delta,NA,-121.4100417,37.99765556
375952121243601,2022-07-20,2022,7,Microcystins/Nodularins,0.04,USGS,South Delta,No Advisory,-121.4100417,37.99765556
380232121241801,2022-05-17,2022,5,Anabaenopeptins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-05-17,2022,5,Anatoxins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-05-17,2022,5,Cylindrospermopsins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-05-17,2022,5,Microcystins/Nodularins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-05-17,2022,5,Anabaenopeptins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-05-17,2022,5,Anatoxins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-05-17,2022,5,Cylindrospermopsins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-05-17,2022,5,Microcystins/Nodularins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Anabaenopeptins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Anatoxins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Cylindrospermopsins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Microcystins/Nodularins,0.01,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Anabaenopeptins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Anatoxins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Cylindrospermopsins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-07-20,2022,7,Microcystins/Nodularins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-10-17,2022,10,Anabaenopeptins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-10-17,2022,10,Anatoxins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-10-17,2022,10,Cylindrospermopsins,0,USGS,East Delta,NA,-121.405,38.04221944
380232121241801,2022-10-17,2022,10,Microcystins/Nodularins,0,USGS,East Delta,No Advisory,-121.405,38.04221944
380232121241801,2022-10-17,2022,10,Saxitoxin,0,USGS,East Delta,NA,-121.405,38.04221944
07BBkayaklaun,2022-01-20,2022,1,Microcystins/Nodularins,0,East Bay Parks,Lower SJ,No Advisory,-121.7282,38.01245
07BBkayaklaun,2022-02-08,2022,2,Microcystins/Nodularins,0,East Bay Parks,Lower SJ,No Advisory,-121.7282,38.01245
07BBkayaklaun,2022-02-14,2022,2,Microcystins/Nodularins,0.01,East Bay Parks,Lower SJ,No Advisory,-121.7282,38.01245
07BBkayaklaun,2022-03-15,2022,3,Microcystins/Nodularins,0,East Bay Parks,Lower SJ,No Advisory,-121.7282,38.01245
07BBkayaklaun,2022-04-19,2022,4,Microcystins/Nodularins,0,East Bay Parks,Lower SJ,No Advisory,-121.7282,38.01245
ALG-006,2022-05-10,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.407068,37.991101
ALG-006,2022-05-10,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.407068,37.991101
ALG-006,2022-05-10,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.407068,37.991101
ALG-005,2022-05-10,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.373984,37.972003
ALG-005,2022-05-10,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.373984,37.972003
ALG-005,2022-05-10,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.373984,37.972003
ALG-004,2022-05-10,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.369135,37.966144
ALG-004,2022-05-10,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.369135,37.966144
ALG-004,2022-05-10,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.369135,37.966144
ALG-003,2022-05-10,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.364989,37.962973
ALG-003,2022-05-10,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.364989,37.962973
ALG-003,2022-05-10,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.364989,37.962973
ALG-002,2022-05-10,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.34751,37.95546
ALG-002,2022-05-10,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.34751,37.95546
ALG-002,2022-05-10,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.34751,37.95546
ALG-001,2022-05-10,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.336185,37.949111
ALG-001,2022-05-10,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.336185,37.949111
ALG-001,2022-05-10,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.336185,37.949111
Franks Tract,2022-05-17,2022,5,Microcystins/Nodularins,0,Prop 1,Franks,No Advisory,-121.6207,38.0476
Middle River @ Bacon Island,2022-05-19,2022,5,Microcystins/Nodularins,0,Prop 1,South Delta,No Advisory,-121.5286,37.9571
Old River near Holland Tract,2022-05-19,2022,5,Microcystins/Nodularins,0,Prop 1,OMR,No Advisory,-121.5737,37.9641
San Joaquin River near Turner Cut,2022-05-19,2022,5,Microcystins/Nodularins,0,Prop 1,South Delta,No Advisory,-121.4438,37.9961
Dyer Res Outlet,2022-05-23,2022,5,Microcystins/Nodularins,0,SWP,CCF,No Advisory,-121.674778,37.755639
ALG-006,2022-05-24,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.407011,37.991036
ALG-006,2022-05-24,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.407011,37.991036
ALG-006,2022-05-24,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.407011,37.991036
ALG-005,2022-05-24,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.373944,37.97198
ALG-005,2022-05-24,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.373944,37.97198
ALG-005,2022-05-24,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.373944,37.97198
ALG-004,2022-05-24,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.369297,37.966009
ALG-004,2022-05-24,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.369297,37.966009
ALG-004,2022-05-24,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.369297,37.966009
ALG-003,2022-05-24,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.364933,37.962918
ALG-003,2022-05-24,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.364933,37.962918
ALG-003,2022-05-24,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.364933,37.962918
ALG-002,2022-05-24,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.34762,37.955465
ALG-002,2022-05-24,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.34762,37.955465
ALG-002,2022-05-24,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.34762,37.955465
ALG-001,2022-05-24,2022,5,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.336268,37.949134
ALG-001,2022-05-24,2022,5,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.336268,37.949134
ALG-001,2022-05-24,2022,5,Saxitoxin,0,Nautilus,South Delta,NA,-121.336268,37.949134
Clifton Court Forebay,2022-06-06,2022,6,Microcystins/Nodularins,0,SWP,CCF,No Advisory,-121.556975,37.829636
Middle River @ Bacon Island,2022-06-07,2022,6,Microcystins/Nodularins,0,Prop 1,South Delta,No Advisory,-121.5286,37.9571
Old River near Holland Tract,2022-06-07,2022,6,Microcystins/Nodularins,0,Prop 1,OMR,No Advisory,-121.5737,37.9641
San Joaquin River near Turner Cut,2022-06-07,2022,6,Microcystins/Nodularins,0,Prop 1,South Delta,No Advisory,-121.4438,37.9961
Franks Tract,2022-06-09,2022,6,Microcystins/Nodularins,0,Prop 1,Franks,No Advisory,-121.6207,38.0476
ALG-006,2022-06-14,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.406971,37.991033
ALG-006,2022-06-14,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.406971,37.991033
ALG-006,2022-06-14,2022,6,Saxitoxin,0,Nautilus,South Delta,NA,-121.406971,37.991033
ALG-005,2022-06-14,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.373944,37.971991
ALG-005,2022-06-14,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.373944,37.971991
ALG-005,2022-06-14,2022,6,Saxitoxin,0,Nautilus,South Delta,NA,-121.373944,37.971991
ALG-004,2022-06-14,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.369292,37.966024
ALG-004,2022-06-14,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.369292,37.966024
ALG-004,2022-06-14,2022,6,Saxitoxin,0,Nautilus,South Delta,NA,-121.369292,37.966024
ALG-003,2022-06-14,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.365092,37.962857
ALG-003,2022-06-14,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.365092,37.962857
ALG-003,2022-06-14,2022,6,Saxitoxin,0,Nautilus,South Delta,NA,-121.365092,37.962857
ALG-002,2022-06-14,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.347333,37.955453
ALG-002,2022-06-14,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.347333,37.955453
ALG-002,2022-06-14,2022,6,Saxitoxin,0,Nautilus,South Delta,NA,-121.347333,37.955453
ALG-001,2022-06-14,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.336127,37.949125
ALG-001,2022-06-14,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.336127,37.949125
ALG-001,2022-06-14,2022,6,Saxitoxin,0,Nautilus,South Delta,NA,-121.336127,37.949125
Middle River @ Bacon Island,2022-06-16,2022,6,Microcystins/Nodularins,0,Prop 1,South Delta,No Advisory,-121.5286,37.9571
Old River near Holland Tract,2022-06-16,2022,6,Microcystins/Nodularins,0,Prop 1,OMR,No Advisory,-121.5737,37.9641
San Joaquin River near Turner Cut,2022-06-16,2022,6,Microcystins/Nodularins,0,Prop 1,South Delta,No Advisory,-121.4438,37.9961
Clifton Court Forebay,2022-06-20,2022,6,Microcystins/Nodularins,0,SWP,CCF,No Advisory,-121.556975,37.829636
ALG-001,2022-06-28,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.336168,37.94917
ALG-001,2022-06-28,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.336168,37.94917
ALG-001,2022-06-28,2022,6,Saxitoxin,0,Nautilus,South Delta,NA,-121.336168,37.94917
ALG-006,2022-06-28,2022,6,Anatoxins,0,Nautilus,South Delta,No Advisory,-121.407052,37.991013
ALG-006,2022-06-28,2022,6,Microcystins/Nodularins,0,Nautilus,South Delta,No Advisory,-121.407052,37.991013
