Site,first,last
DSJ,2013-01-01,2022-09-30
FAL,2015-01-01,2022-09-26
FRK,2015-07-01,2022-08-31
HLT,2015-01-01,2022-09-08
HOL,2015-01-01,2022-08-23
MDM,2015-01-01,2022-09-30
ORQ,2015-01-01,2021-12-08
OSJ,2015-01-01,2022-09-26
SJG,2022-01-01,2022-09-30
