"Source","Station","Stratum2"
"USGS_CAWSC","11337190","Lower SJ"
"USGS_CAWSC","11455142","Cache/Liberty"
"USGS_CAWSC","11455140","Cache/Liberty"
"USGS_CAWSC","11455385","Cache/Liberty"
"USGS_CAWSC","11455315","Cache/Liberty"
"USGS_CAWSC","11312676","OMR"
"USGS_CAWSC","11455095","Cache/Liberty"
"USGS_CAWSC","11311300","South Delta"
"USGS_CAWSC","11313460","Lower SJ"
"USGS_CAWSC","382010121402301","Cache/Liberty"
"USGS_CAWSC","11313405","OMR"
"USGS_CAWSC","11312685","South Delta"
"USGS_CAWSC","11455276","Cache/Liberty"
"DWR_EMP","C9","South Delta"
"DWR_EMP","D12","Lower SJ"
"DWR_EMP","D16","Lower SJ"
"DWR_EMP","D19","Franks"
"DWR_EMP","D26","Lower SJ"
"DWR_EMP","D28A","OMR"
"DWR_EMP","P8","South Delta"
"DWR_EMP","EZ2-SJR","Lower SJ"
"DWR_EMP","EZ6-SJR","Lower SJ"
"DWR_NCRO","BET","Franks"
"DWR_NCRO","FAL","Franks"
"DWR_NCRO","FCT","Franks"
"DWR_NCRO","GLE","South Delta"
"DWR_NCRO","DGL","South Delta"
"DWR_NCRO","NA_HOL","OMR"
"DWR_NCRO","MHO","South Delta"
"DWR_NCRO","MRU","South Delta"
"DWR_NCRO","HLT","South Delta"
"DWR_NCRO","MRX","South Delta"
"DWR_NCRO","ORI","South Delta"
"DWR_NCRO","ODM","South Delta"
"DWR_NCRO","ORM","South Delta"
"DWR_NCRO","TWA","South Delta"
"DWR_NCRO","OH1","South Delta"
"DWR_NCRO","OBI","OMR"
"DWR_NCRO","ORX","South Delta"
"DWR_NCRO","OSJ","Franks"
"DWR_NCRO","RSCC","OMR"
"DWR_NCRO","BLP","Lower SJ"
"DWR_NCRO","TRN","South Delta"
"DWR_NCRO","VCU","OMR"
"DWR_NCRO","WCI","South Delta"
"DWR_NCRO","LIS","Cache/Liberty"
