contrast,estimate,SE,df,t.ratio,p.value,sig
(Cache/Liberty) - East Delta,-0.06013358809828091,0.05201721460238927,2021.2359172852966,-1.1560324511401048,0.9439832421737784,not sig
(Cache/Liberty) - Franks,-0.03614365858239554,0.04144218619017218,2021.4959310472955,-0.8721465227856834,0.9884672979351694,not sig
(Cache/Liberty) - OMR,0.046851564283629646,0.04870895462254268,2021.3729093862012,0.9618675795178443,0.9795711139142397,not sig
(Cache/Liberty) - South Delta,-0.08844046594847017,0.04689375410077278,2021.4722503066805,-1.8859753850889223,0.5607632265211488,not sig
East Delta - Franks,0.023989929515885376,0.056606619318525966,2021.0860293795413,0.4238007816876295,0.999888621955171,not sig
East Delta - Lower SJ,-0.061272680490084205,0.054921357002226424,2021.198259109859,-1.1156439650171117,0.9535612841451909,not sig
East Delta - OMR,0.10698515238191056,0.06200809202842989,2021.1089057711179,1.7253417881791828,0.6706289725603991,not sig
East Delta - South Delta,-0.02830687785018926,0.060817378452602905,2021.140026519452,-0.46544061204890297,0.999791019196523,not sig
Franks - Lower SJ,-0.08526261000596957,0.04522448635582402,2021.0768192521055,-1.8853195884885807,0.5612184517965033,not sig
Franks - OMR,0.08299522286602518,0.05316911103329876,2021.0454578428823,1.5609669082871616,0.773612621540781,not sig
Franks - South Delta,-0.05229680736607464,0.05203085590452973,2021.044666882266,-1.0051114181560437,0.9737795884106545,not sig
Lower Sac - Upper Sac,-0.08814818864449475,0.03754940298227491,2021.6061638237825,-2.3475257033009247,0.2683647366002143,not sig
Lower SJ - South Delta,0.032965802639894945,0.050115060198911876,2021.1198754067188,0.6578023154925935,0.9979837266814792,not sig
OMR - South Delta,-0.13529203023209982,0.057845892613563245,2021.08344511245,-2.338835552869965,0.27294006017980565,not sig
(Cache/Liberty) - Lower Sac,-0.35825919495680175,0.0344755716305183,2021.562570448168,-10.391682516430423,5.129141555926253e-11,sig
(Cache/Liberty) - Lower SJ,-0.12140626858836512,0.03885099954930704,2021.5800904364887,-3.1249200791934464,0.038146822601979546,sig
(Cache/Liberty) - Upper Sac,-0.4464073836012965,0.037689434303589876,2021.4555041636331,-11.84436412617572,4.9900861220919523e-11,sig
East Delta - Lower Sac,-0.29812560685852085,0.05194670356167546,2021.144042263228,-5.739066897759186,3.0551763108288554e-7,sig
East Delta - Upper Sac,-0.3862737955030156,0.0540802435540913,2021.314344596655,-7.1426045838100345,8.726197542330283e-11,sig
Franks - Lower Sac,-0.3221155363744062,0.040659222342923525,2021.1272770789642,-7.922324083270824,5.003886194288043e-11,sig
Franks - Upper Sac,-0.41026372501890096,0.04370694342045355,2021.5955575372145,-9.386694490901181,4.952249721412727e-11,sig
Lower Sac - Lower SJ,0.23685292636843663,0.038881108092223955,2021.1524698705628,6.091722638321775,3.731056563704982e-8,sig
Lower Sac - OMR,0.4051107592404314,0.04845272864926849,2021.1269350111445,8.360948300205742,5.048717000022407e-11,sig
Lower Sac - South Delta,0.2698187290083316,0.04689987853804504,2021.2048280023855,5.75307948376573,2.8164546328479645e-7,sig
Lower SJ - OMR,0.16825783287199475,0.05145901105278081,2021.0366011601354,3.2697447819083614,0.024248177336686716,sig
Lower SJ - Upper Sac,-0.3250011150129314,0.04176821800771639,2021.483665663292,-7.781062504339775,5.0421222752561334e-11,sig
OMR - Upper Sac,-0.49325894788492614,0.05081170040842553,2021.3273559945926,-9.707585928439714,4.936895336982161e-11,sig
South Delta - Upper Sac,-0.35796691765282634,0.049312398945286384,2021.5332531494669,-7.259166564782249,6.536859942229967e-11,sig
