contrast,estimate,SE,df,z.ratio,p.value
fYear2017 - fYear2018,-2.003,0.171,Inf,-11.717,0
fYear2017 - fYear2019,-1.074,0.179,Inf,-5.998,2.988506253576162e-8
fYear2017 - fYear2020,-2.465,0.173,Inf,-14.211,0
fYear2017 - fYear2021,-1.952,0.173,Inf,-11.267,9.325873406851315e-15
fYear2017 - fYear2022,-2.541,0.18,Inf,-14.153,0
fYear2018 - fYear2019,0.93,0.124,Inf,7.484,1.1187717419147702e-12
fYear2018 - fYear2020,-0.461,0.116,Inf,-3.977,9.847391401535122e-4
fYear2018 - fYear2021,0.051,0.116,Inf,0.444,0.9978343745439796
fYear2018 - fYear2022,-0.537,0.124,Inf,-4.326,2.2000207295169716e-4
fYear2019 - fYear2020,-1.391,0.128,Inf,-10.886,5.384581669432009e-14
fYear2019 - fYear2021,-0.878,0.127,Inf,-6.895,8.107192694950527e-11
fYear2019 - fYear2022,-1.467,0.135,Inf,-10.858,6.061817714453355e-14
fYear2020 - fYear2021,0.513,0.119,Inf,4.291,2.56608851427198e-4
fYear2020 - fYear2022,-0.076,0.128,Inf,-0.596,0.9913540830394658
fYear2021 - fYear2022,-0.589,0.128,Inf,-4.614,5.799393072969394e-5
Spring - Summer,-3.414,0.205,Inf,-16.661,0
Spring - Fall,-2.956,0.206,Inf,-14.337,0
Summer - Fall,0.457,0.077,Inf,5.911,1.0224280311277312e-8
