Year,soil,water,sav,emergent,hyacinth,otherFAV,primrose,npv,riparian,shadow,emrwp,floating,aqua,yrs.list,pc_fav,pc_sav
2004,6.95,325.64,318.59,96.43,7.49,5.62,1.78,13.78,38.51,0.97,0.00,14.89,660.10,2004.00,2.31,49.35
2005,10.47,366.74,270.01,102.12,4.11,6.49,3.51,6.68,42.64,1.66,0.00,14.11,652.52,2005.00,2.19,41.83
2006,8.53,150.50,474.16,90.35,10.25,3.17,1.71,7.17,55.80,12.26,0.00,15.12,652.04,2006.00,2.34,73.45
2007,11.39,357.34,285.25,76.55,1.40,3.80,1.36,1.33,76.62,1.08,0.00,6.55,650.22,2007.00,1.01,44.19
2008,6.64,588.25,45.72,73.42,1.44,3.51,2.91,11.03,78.35,4.91,0.00,7.86,646.73,2008.00,1.22,7.08
2011,18.21,512.77,107.29,78.25,29.25,0.00,0.00,7.19,66.99,0.00,0.00,29.25,649.31,2011.00,4.53,16.62
2014,10.54,436.38,127.59,91.03,25.53,0.00,41.28,28.02,55.93,0.00,0.00,66.82,630.78,2014.00,10.35,19.76
2015,11.71,241.49,328.47,102.84,9.62,1.24,47.63,27.17,36.89,9.82,0.00,58.48,638.26,2015.00,9.06,50.88
2016,11.01,175.20,395.48,92.96,9.58,0.00,47.02,9.35,56.50,18.80,0.00,56.60,646.08,2016.00,8.77,61.26
2017,11.86,94.50,495.26,105.08,5.54,0.00,51.97,3.14,38.06,8.72,0.00,57.50,655.99,2017.00,8.91,76.72
2018,11.92,170.47,430.56,93.08,11.58,0.00,39.16,7.59,50.31,5.06,0.00,50.74,656.83,2018.00,7.86,66.70
2019,9.77,188.60,414.99,83.59,3.25,0.00,39.24,3.77,63.32,5.40,0.00,42.49,651.48,2019.00,6.58,64.29
2020,9.52,112.34,481.74,93.31,7.57,0.00,32.75,3.58,61.65,1.97,9.26,40.32,636.37,2020.00,6.25,74.63
2021,12.74,344.58,234.77,57.38,2.07,0.37,31.41,6.92,92.70,11.86,25.03,33.85,625.05,2021.00,5.24,36.37
2022,15.23,453.64,137.62,133.55,6.60,0.00,31.57,2.67,38.27,1.91,0.00,38.17,631.34,2022.00,5.91,21.32
