Year,soil,water,sav,emergent,hyacinth,otherFAV,primrose,npv,riparian,shadow,emrwp,floating,aqua,pc_fav,pc_sav
2004,18.15,885.55,10.45,0.11,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,895.99,0.00,1.17
2005,19.35,869.80,17.88,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,887.68,0.00,2.01
2006,16.51,896.17,1.41,0.07,0.00,0.00,0.00,0.01,0.00,0.09,0.00,0.00,897.66,0.00,0.16
2007,20.24,893.98,0.12,0.00,0.00,0.00,0.01,0.03,0.01,0.01,0.00,0.01,894.12,0.00,0.01
2008,18.86,859.02,35.24,0.03,0.04,0.00,0.04,0.03,0.72,0.78,0.00,0.08,895.11,0.01,3.95
2010,27.58,766.75,127.39,0.08,0.00,0.00,0.00,1.64,0.04,0.00,0.00,0.00,894.14,0.00,14.29
2011,28.43,800.42,94.16,0.19,0.01,0.00,0.00,0.43,0.15,0.00,0.00,0.01,894.59,0.00,10.56
2014,22.24,627.49,66.79,0.30,0.09,0.00,0.09,0.01,1.56,198.86,0.00,0.17,893.31,0.02,7.49
2015,25.75,547.11,324.21,17.78,0.06,0.01,0.32,0.82,0.18,0.18,0.00,0.40,871.90,0.04,36.36
2019,23.32,370.72,519.49,1.33,0.07,0.00,0.29,1.40,0.16,0.93,0.00,0.35,891.50,0.04,58.26
2020,16.19,702.19,182.39,4.91,2.59,0.00,0.34,0.07,0.24,2.37,0.08,2.93,889.87,0.33,20.45
2021,28.97,581.73,299.29,3.51,0.01,0.00,0.29,0.41,0.15,8.22,0.00,0.30,889.54,0.03,33.57
2022,26.47,177.56,709.34,0.20,0.15,0.00,0.24,0.06,0.11,8.94,0.00,0.40,896.23,0.04,79.55
