agency_cd,site_no,date_time,flow_inst,flow_inst_cd,tz_cd
USGS,11313434,2022-01-01T08:00:00Z,952,P,Etc/GMT+8
USGS,11313434,2022-01-01T08:15:00Z,-2490,P,Etc/GMT+8
USGS,11313434,2022-01-01T08:30:00Z,-4340,P,Etc/GMT+8
USGS,11313434,2022-01-01T08:45:00Z,-7010,P,Etc/GMT+8
USGS,11313434,2022-01-01T09:00:00Z,-8410,P,Etc/GMT+8
USGS,11313434,2022-01-01T09:15:00Z,-9520,P,Etc/GMT+8
USGS,11313434,2022-01-01T09:30:00Z,-10100,P,Etc/GMT+8
USGS,11313434,2022-01-01T09:45:00Z,-10200,P,Etc/GMT+8
USGS,11313434,2022-01-01T10:00:00Z,-9830,P,Etc/GMT+8
USGS,11313434,2022-01-01T10:15:00Z,-10300,P,Etc/GMT+8
USGS,11313434,2022-01-01T10:30:00Z,-8770,P,Etc/GMT+8
USGS,11313434,2022-01-01T10:45:00Z,-7690,P,Etc/GMT+8
USGS,11313434,2022-01-01T11:00:00Z,-8570,P,Etc/GMT+8
USGS,11313434,2022-01-01T11:15:00Z,-6450,P,Etc/GMT+8
USGS,11313434,2022-01-01T11:30:00Z,-7630,P,Etc/GMT+8
USGS,11313434,2022-01-01T11:45:00Z,-3620,P,Etc/GMT+8
USGS,11313434,2022-01-01T12:00:00Z,-3150,P,Etc/GMT+8
USGS,11313434,2022-01-01T12:15:00Z,-4050,P,Etc/GMT+8
USGS,11313434,2022-01-01T12:30:00Z,-3030,P,Etc/GMT+8
USGS,11313434,2022-01-01T12:45:00Z,-3870,P,Etc/GMT+8
USGS,11313434,2022-01-01T13:00:00Z,-1420,P,Etc/GMT+8
USGS,11313434,2022-01-01T13:15:00Z,-459,P,Etc/GMT+8
USGS,11313434,2022-01-01T13:30:00Z,910,P,Etc/GMT+8
USGS,11313434,2022-01-01T13:45:00Z,513,P,Etc/GMT+8
USGS,11313434,2022-01-01T14:00:00Z,2200,P,Etc/GMT+8
USGS,11313434,2022-01-01T14:15:00Z,4240,P,Etc/GMT+8
USGS,11313434,2022-01-01T14:30:00Z,4130,P,Etc/GMT+8
USGS,11313434,2022-01-01T14:45:00Z,5110,P,Etc/GMT+8
USGS,11313434,2022-01-01T15:00:00Z,6120,P,Etc/GMT+8
USGS,11313434,2022-01-01T15:15:00Z,6210,P,Etc/GMT+8
USGS,11313434,2022-01-01T15:30:00Z,6580,P,Etc/GMT+8
USGS,11313434,2022-01-01T15:45:00Z,6540,P,Etc/GMT+8
USGS,11313434,2022-01-01T16:00:00Z,6450,P,Etc/GMT+8
USGS,11313434,2022-01-01T16:15:00Z,6150,P,Etc/GMT+8
USGS,11313434,2022-01-01T16:30:00Z,6030,P,Etc/GMT+8
USGS,11313434,2022-01-01T16:45:00Z,5800,P,Etc/GMT+8
USGS,11313434,2022-01-01T17:00:00Z,5110,P,Etc/GMT+8
USGS,11313434,2022-01-01T17:15:00Z,4060,P,Etc/GMT+8
USGS,11313434,2022-01-01T17:30:00Z,2360,P,Etc/GMT+8
USGS,11313434,2022-01-01T17:45:00Z,302,P,Etc/GMT+8
USGS,11313434,2022-01-01T18:00:00Z,-2620,P,Etc/GMT+8
USGS,11313434,2022-01-01T18:15:00Z,-5560,P,Etc/GMT+8
USGS,11313434,2022-01-01T18:30:00Z,-8270,P,Etc/GMT+8
USGS,11313434,2022-01-01T18:45:00Z,-10500,P,Etc/GMT+8
USGS,11313434,2022-01-01T19:00:00Z,-11100,P,Etc/GMT+8
USGS,11313434,2022-01-01T19:15:00Z,-11200,P,Etc/GMT+8
USGS,11313434,2022-01-01T19:30:00Z,-12100,P,Etc/GMT+8
USGS,11313434,2022-01-01T19:45:00Z,-12200,P,Etc/GMT+8
USGS,11313434,2022-01-01T20:00:00Z,-12500,P,Etc/GMT+8
USGS,11313434,2022-01-01T20:15:00Z,-11500,P,Etc/GMT+8
USGS,11313434,2022-01-01T20:30:00Z,-11600,P,Etc/GMT+8
USGS,11313434,2022-01-01T20:45:00Z,-10800,P,Etc/GMT+8
USGS,11313434,2022-01-01T21:00:00Z,-11600,P,Etc/GMT+8
USGS,11313434,2022-01-01T21:15:00Z,-11300,P,Etc/GMT+8
USGS,11313434,2022-01-01T21:30:00Z,-10200,P,Etc/GMT+8
USGS,11313434,2022-01-01T21:45:00Z,-10900,P,Etc/GMT+8
USGS,11313434,2022-01-01T22:00:00Z,-7440,P,Etc/GMT+8
USGS,11313434,2022-01-01T22:15:00Z,-9520,P,Etc/GMT+8
USGS,11313434,2022-01-01T22:30:00Z,-6880,P,Etc/GMT+8
USGS,11313434,2022-01-01T22:45:00Z,-9260,P,Etc/GMT+8
USGS,11313434,2022-01-01T23:00:00Z,-7520,P,Etc/GMT+8
USGS,11313434,2022-01-01T23:15:00Z,-4530,P,Etc/GMT+8
USGS,11313434,2022-01-01T23:30:00Z,-4630,P,Etc/GMT+8
USGS,11313434,2022-01-01T23:45:00Z,-1220,P,Etc/GMT+8
USGS,11313434,2022-01-02T00:00:00Z,4120,P,Etc/GMT+8
USGS,11313434,2022-01-02T00:15:00Z,4370,P,Etc/GMT+8
USGS,11313434,2022-01-02T00:30:00Z,4510,P,Etc/GMT+8
USGS,11313434,2022-01-02T00:45:00Z,5410,P,Etc/GMT+8
USGS,11313434,2022-01-02T01:00:00Z,7180,P,Etc/GMT+8
USGS,11313434,2022-01-02T01:15:00Z,9250,P,Etc/GMT+8
USGS,11313434,2022-01-02T01:30:00Z,11000,P,Etc/GMT+8
USGS,11313434,2022-01-02T01:45:00Z,12300,P,Etc/GMT+8
USGS,11313434,2022-01-02T02:00:00Z,9320,P,Etc/GMT+8
USGS,11313434,2022-01-02T02:15:00Z,7440,P,Etc/GMT+8
USGS,11313434,2022-01-02T02:30:00Z,8070,P,Etc/GMT+8
USGS,11313434,2022-01-02T02:45:00Z,10300,P,Etc/GMT+8
USGS,11313434,2022-01-02T03:00:00Z,10600,P,Etc/GMT+8
USGS,11313434,2022-01-02T03:15:00Z,9950,P,Etc/GMT+8
USGS,11313434,2022-01-02T03:30:00Z,10400,P,Etc/GMT+8
USGS,11313434,2022-01-02T03:45:00Z,9670,P,Etc/GMT+8
USGS,11313434,2022-01-02T04:00:00Z,9890,P,Etc/GMT+8
USGS,11313434,2022-01-02T04:15:00Z,9800,P,Etc/GMT+8
USGS,11313434,2022-01-02T04:30:00Z,7930,P,Etc/GMT+8
USGS,11313434,2022-01-02T04:45:00Z,8030,P,Etc/GMT+8
USGS,11313434,2022-01-02T05:00:00Z,6920,P,Etc/GMT+8
USGS,11313434,2022-01-02T05:15:00Z,6220,P,Etc/GMT+8
USGS,11313434,2022-01-02T05:30:00Z,6790,P,Etc/GMT+8
USGS,11313434,2022-01-02T05:45:00Z,6870,P,Etc/GMT+8
USGS,11313434,2022-01-02T06:00:00Z,7550,P,Etc/GMT+8
USGS,11313434,2022-01-02T06:15:00Z,6410,P,Etc/GMT+8
USGS,11313434,2022-01-02T06:30:00Z,6430,P,Etc/GMT+8
USGS,11313434,2022-01-02T06:45:00Z,7040,P,Etc/GMT+8
USGS,11313434,2022-01-02T07:00:00Z,7880,P,Etc/GMT+8
USGS,11313434,2022-01-02T07:15:00Z,6940,P,Etc/GMT+8
USGS,11313434,2022-01-02T07:30:00Z,6290,P,Etc/GMT+8
USGS,11313434,2022-01-02T07:45:00Z,5500,P,Etc/GMT+8
USGS,11313434,2022-01-02T08:00:00Z,4770,P,Etc/GMT+8
USGS,11313434,2022-01-02T08:15:00Z,5070,P,Etc/GMT+8
USGS,11313434,2022-01-02T08:30:00Z,4200,P,Etc/GMT+8
USGS,11313434,2022-01-02T08:45:00Z,2600,P,Etc/GMT+8
USGS,11313434,2022-01-02T09:00:00Z,2730,P,Etc/GMT+8
USGS,11313434,2022-01-02T09:15:00Z,-1370,P,Etc/GMT+8
USGS,11313434,2022-01-02T09:30:00Z,-5940,P,Etc/GMT+8
USGS,11313434,2022-01-02T09:45:00Z,-6470,P,Etc/GMT+8
USGS,11313434,2022-01-02T10:00:00Z,-7850,P,Etc/GMT+8
USGS,11313434,2022-01-02T10:15:00Z,-10400,P,Etc/GMT+8
USGS,11313434,2022-01-02T10:30:00Z,-10300,P,Etc/GMT+8
USGS,11313434,2022-01-02T10:45:00Z,-10800,P,Etc/GMT+8
USGS,11313434,2022-01-02T11:00:00Z,-11000,P,Etc/GMT+8
USGS,11313434,2022-01-02T11:15:00Z,-9030,P,Etc/GMT+8
USGS,11313434,2022-01-02T11:30:00Z,-9660,P,Etc/GMT+8
USGS,11313434,2022-01-02T11:45:00Z,-7680,P,Etc/GMT+8
USGS,11313434,2022-01-02T12:00:00Z,-8660,P,Etc/GMT+8
USGS,11313434,2022-01-02T12:15:00Z,-5580,P,Etc/GMT+8
USGS,11313434,2022-01-02T12:30:00Z,-4880,P,Etc/GMT+8
USGS,11313434,2022-01-02T12:45:00Z,-8350,P,Etc/GMT+8
USGS,11313434,2022-01-02T13:00:00Z,-4150,P,Etc/GMT+8
USGS,11313434,2022-01-02T13:15:00Z,-7480,P,Etc/GMT+8
USGS,11313434,2022-01-02T13:30:00Z,-2920,P,Etc/GMT+8
USGS,11313434,2022-01-02T13:45:00Z,-3150,P,Etc/GMT+8
USGS,11313434,2022-01-02T14:00:00Z,-2940,P,Etc/GMT+8
USGS,11313434,2022-01-02T14:15:00Z,-1370,P,Etc/GMT+8
USGS,11313434,2022-01-02T14:30:00Z,-182,P,Etc/GMT+8
USGS,11313434,2022-01-02T14:45:00Z,989,P,Etc/GMT+8
USGS,11313434,2022-01-02T15:00:00Z,2870,P,Etc/GMT+8
USGS,11313434,2022-01-02T15:15:00Z,3470,P,Etc/GMT+8
USGS,11313434,2022-01-02T15:30:00Z,3260,P,Etc/GMT+8
USGS,11313434,2022-01-02T15:45:00Z,4450,P,Etc/GMT+8
USGS,11313434,2022-01-02T16:00:00Z,5770,P,Etc/GMT+8
USGS,11313434,2022-01-02T16:15:00Z,5680,P,Etc/GMT+8
USGS,11313434,2022-01-02T16:30:00Z,6000,P,Etc/GMT+8
USGS,11313434,2022-01-02T16:45:00Z,6210,P,Etc/GMT+8
USGS,11313434,2022-01-02T17:00:00Z,6230,P,Etc/GMT+8
USGS,11313434,2022-01-02T17:15:00Z,6220,P,Etc/GMT+8
USGS,11313434,2022-01-02T17:30:00Z,5900,P,Etc/GMT+8
USGS,11313434,2022-01-02T17:45:00Z,5520,P,Etc/GMT+8
USGS,11313434,2022-01-02T18:00:00Z,4610,P,Etc/GMT+8
USGS,11313434,2022-01-02T18:15:00Z,2890,P,Etc/GMT+8
USGS,11313434,2022-01-02T18:30:00Z,1320,P,Etc/GMT+8
USGS,11313434,2022-01-02T18:45:00Z,-1050,P,Etc/GMT+8
USGS,11313434,2022-01-02T19:00:00Z,-3750,P,Etc/GMT+8
USGS,11313434,2022-01-02T19:15:00Z,-6490,P,Etc/GMT+8
USGS,11313434,2022-01-02T19:30:00Z,-9420,P,Etc/GMT+8
USGS,11313434,2022-01-02T19:45:00Z,-10400,P,Etc/GMT+8
USGS,11313434,2022-01-02T20:00:00Z,-10600,P,Etc/GMT+8
USGS,11313434,2022-01-02T20:15:00Z,-11100,P,Etc/GMT+8
USGS,11313434,2022-01-02T20:30:00Z,-11400,P,Etc/GMT+8
USGS,11313434,2022-01-02T20:45:00Z,-11300,P,Etc/GMT+8
USGS,11313434,2022-01-02T21:00:00Z,-10500,P,Etc/GMT+8
