Time,B9512000,,B9512000,,B9512000,,B9512000,,B9512000,,B9512000,
and,450,,630,,810,,821,,865,,2351,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
1/1/2022 0:00,8.8,1,1.13,1,3.99,1,571,1,86.7,1,10.05,1
1/1/2022 0:15,8.8,1,1.16,1,4.15,1,571,1,86.4,1,10.01,1
1/1/2022 0:30,8.8,1,1.19,1,4.62,1,570,1,86.7,1,10.05,1
1/1/2022 0:45,8.8,1,1.23,1,4.88,1,567,1,86.6,1,10.03,1
1/1/2022 1:00,8.8,1,1.27,1,5.57,1,564,1,86.4,1,10.02,1
1/1/2022 1:15,8.8,1,1.3,1,4.61,1,562,1,86.4,1,10.02,1
1/1/2022 1:30,8.8,1,1.34,1,4.54,1,558,1,86.3,1,10.01,1
1/1/2022 1:45,8.8,1,1.38,1,4.87,1,555,1,86.2,1,10,1
1/1/2022 2:00,8.8,1,1.41,1,5.09,1,550,1,86.1,1,9.99,1
1/1/2022 2:15,8.7,1,1.44,1,5.29,1,546,1,86,1,9.99,1
1/1/2022 2:30,8.7,1,1.48,1,5.44,1,544,1,86,1,10,1
1/1/2022 2:45,8.7,1,1.52,1,5.8,1,542,1,86,1,10,1
1/1/2022 3:00,8.7,1,1.55,1,6.08,1,541,1,85.9,1,10,1
1/1/2022 3:15,8.6,1,1.58,1,6.44,1,541,1,85.9,1,10,1
1/1/2022 3:30,8.6,1,1.62,1,6.14,1,542,1,85.8,1,10,1
1/1/2022 3:45,8.6,1,1.65,1,5.55,1,543,1,85.7,1,9.99,1
1/1/2022 4:00,8.6,1,1.67,1,5.92,1,544,1,85.7,1,9.99,1
1/1/2022 4:15,8.5,1,1.7,1,5.62,1,545,1,85.6,1,9.99,1
1/1/2022 4:30,8.5,1,1.72,1,5.77,1,546,1,85.5,1,9.99,1
1/1/2022 4:45,8.5,1,1.73,1,5.6,1,547,1,85.5,1,9.98,1
1/1/2022 5:00,8.5,1,1.74,1,5.08,1,548,1,85.4,1,9.97,1
1/1/2022 5:15,8.5,1,1.74,1,5.61,1,549,1,85.4,1,9.99,1
1/1/2022 5:30,8.5,1,1.73,1,4.57,1,549,1,85.1,1,9.95,1
1/1/2022 5:45,8.5,1,1.71,1,4.66,1,549,1,85.2,1,9.96,1
1/1/2022 6:00,8.4,1,1.69,1,5.14,1,548,1,85.4,1,9.99,1
1/1/2022 6:15,8.4,1,1.67,1,5.45,1,548,1,85.6,1,10.02,1
1/1/2022 6:30,8.4,1,1.65,1,5.35,1,548,1,85.6,1,10.02,1
1/1/2022 6:45,8.4,1,1.62,1,5.44,1,546,1,85.6,1,10.01,1
1/1/2022 7:00,8.4,1,1.6,1,5.4,1,542,1,85.6,1,10.02,1
1/1/2022 7:15,8.4,1,1.58,1,5.34,1,536,1,85.6,1,10.01,1
1/1/2022 7:30,8.5,1,1.55,1,5.17,1,518,1,85.6,1,10,1
1/1/2022 7:45,8.5,1,1.53,1,5.33,1,516,1,85.5,1,9.99,1
1/1/2022 8:00,8.5,1,1.51,1,5.36,1,520,1,85.4,1,9.98,1
1/1/2022 8:15,8.5,1,1.49,1,5.43,1,523,1,85.4,1,9.98,1
1/1/2022 8:30,8.5,1,1.47,1,5.45,1,527,1,85.4,1,9.97,1
1/1/2022 8:45,8.5,1,1.46,1,5.38,1,528,1,85.3,1,9.97,1
1/1/2022 9:00,8.5,1,1.45,1,5.32,1,532,1,85.4,1,9.98,1
1/1/2022 9:15,8.5,1,1.45,1,5,1,533,1,85.4,1,9.98,1
1/1/2022 9:30,8.5,1,1.45,1,5.03,1,535,1,85.6,1,9.99,1
1/1/2022 9:45,8.5,1,1.47,1,4.64,1,535,1,85.4,1,9.97,1
1/1/2022 10:00,8.5,1,1.5,1,4.95,1,535,1,85.6,1,9.99,1
1/1/2022 10:15,8.5,1,1.54,1,4.95,1,534,1,85.7,1,10,1
1/1/2022 10:30,8.6,1,1.57,1,4.92,1,532,1,85.8,1,10.01,1
1/1/2022 10:45,8.6,1,1.61,1,5.1,1,530,1,85.9,1,10.02,1
1/1/2022 11:00,8.6,1,1.64,1,5.12,1,528,1,85.8,1,10.01,1
1/1/2022 11:15,8.6,1,1.68,1,5.49,1,526,1,86,1,10.03,1
1/1/2022 11:30,8.5,1,1.71,1,5.44,1,531,1,86.1,1,10.05,1
1/1/2022 11:45,8.5,1,1.74,1,6.27,1,535,1,86.2,1,10.08,1
1/1/2022 12:00,8.5,1,1.78,1,7.75,1,537,1,86.4,1,10.1,1
1/1/2022 12:15,8.5,1,1.82,1,9.26,1,537,1,86.5,1,10.11,1
1/1/2022 12:30,8.5,1,1.86,1,8.17,1,540,1,86.4,1,10.1,1
1/1/2022 12:45,8.4,1,1.9,1,7.16,1,545,1,86.5,1,10.12,1
1/1/2022 13:00,8.4,1,1.94,1,7.28,1,550,1,86.5,1,10.12,1
1/1/2022 13:15,8.4,1,1.98,1,6.72,1,555,1,86.6,1,10.13,1
1/1/2022 13:30,8.4,1,2.02,1,6.58,1,554,1,86.6,1,10.14,1
1/1/2022 13:45,8.4,1,2.06,1,6.61,1,555,1,86.7,1,10.14,1
1/1/2022 14:00,8.4,1,2.1,1,6.74,1,554,1,86.8,1,10.15,1
1/1/2022 14:15,8.4,1,2.13,1,6.14,1,558,1,86.8,1,10.16,1
1/1/2022 14:30,8.5,1,2.16,1,6.2,1,561,1,86.9,1,10.16,1
1/1/2022 14:45,8.5,1,2.19,1,5.95,1,568,1,86.8,1,10.15,1
1/1/2022 15:00,8.5,1,2.21,1,6.13,1,571,1,86.8,1,10.15,1
1/1/2022 15:15,8.5,1,2.22,1,5.9,1,573,1,86.9,1,10.16,1
1/1/2022 15:30,8.5,1,2.23,1,5.69,1,574,1,86.9,1,10.15,1
1/1/2022 15:45,8.5,1,2.23,1,5.41,1,575,1,86.8,1,10.14,1
1/1/2022 16:00,8.5,1,2.21,1,5.2,1,575,1,86.4,1,10.09,1
1/1/2022 16:15,8.5,1,2.19,1,7.13,1,523,1,86.3,1,10.08,1
1/1/2022 16:30,8.5,1,2.15,1,6.16,1,576,1,87,1,10.17,1
1/1/2022 16:45,8.5,1,2.12,1,6.55,1,542,1,86.4,1,10.1,1
1/1/2022 17:00,8.5,1,2.09,1,8.36,1,476,1,85.7,1,10.01,1
1/1/2022 17:15,8.5,1,2.06,1,6.64,1,532,1,86.4,1,10.1,1
1/1/2022 17:30,8.6,1,2.03,1,7.08,1,482,1,86.3,1,10.06,1
1/1/2022 17:45,8.6,1,2,1,7.64,1,476,1,86,1,10.03,1
1/1/2022 18:00,8.5,1,1.96,1,7.06,1,511,1,86.1,1,10.06,1
1/1/2022 18:15,8.5,1,1.93,1,7.41,1,512,1,86.1,1,10.06,1
1/1/2022 18:30,8.5,1,1.89,1,6.83,1,511,1,85.9,1,10.04,1
1/1/2022 18:45,8.5,1,1.86,1,6.76,1,513,1,86.1,1,10.05,1
1/1/2022 19:00,8.5,1,1.83,1,6.76,1,516,1,86.1,1,10.06,1
1/1/2022 19:15,8.5,1,1.79,1,6.41,1,519,1,86.2,1,10.07,1
