Time,B9510800,,B9510800,,B9510800,,B9510800,,B9510800,,B9510800,,B9510800,
and,450,,630,,810,,821,,865,,2351,,7004,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
1/1/2014 0:01,8.2,1,,,,170,730,1,,,,,3.4,1
1/1/2014 0:16,8.2,1,,,,170,732,1,,,,,3.1,1
1/1/2014 0:30,8.1,1,,,,170,730,1,,,,,2.7,1
1/1/2014 0:46,8.1,1,,,,170,723,1,,,,,3.1,1
1/1/2014 1:01,8.1,1,,,11.2,1,722,1,,,,,3.5,1
1/1/2014 1:16,8.1,1,,,4.7,1,720,1,,,,,3,1
1/1/2014 1:30,8.1,1,,,4.3,1,713,1,,,,,3.1,1
1/1/2014 1:46,8.1,1,,,3.8,1,714,1,,,,,3.3,1
1/1/2014 2:01,8.1,1,,,3.7,1,714,1,,,,,2.9,1
1/1/2014 2:16,8.1,1,,,3.8,1,725,1,,,,,2.9,1
1/1/2014 2:30,8.1,1,,,4.1,1,721,1,,,,,3.2,1
1/1/2014 2:46,8.1,1,,,4.3,1,721,1,,,,,3.1,1
1/1/2014 3:01,8.1,1,,,5.1,1,744,1,,,,,3.2,1
1/1/2014 3:16,8.1,1,,,4.4,1,738,1,,,,,3.5,1
1/1/2014 3:30,8.1,1,,,4.9,1,729,1,,,,,3.6,1
1/1/2014 3:46,8.1,1,,,5.1,1,704,1,,,,,2.9,1
1/1/2014 4:01,8.1,1,,,5.4,1,717,1,,,,,3.2,1
1/1/2014 4:16,8.1,1,,,5.7,1,670,1,,,,,3.1,1
1/1/2014 4:30,8.2,1,,,5.8,1,624,1,,,,,2.7,1
1/1/2014 4:46,8.2,1,,,5.6,1,616,1,,,,,3,1
1/1/2014 5:01,8.2,1,,,5.8,1,610,1,,,,,2.8,1
1/1/2014 5:16,8.2,1,,,5.3,1,598,1,,,,,3.2,1
1/1/2014 5:30,8.1,1,,,4.9,1,624,1,,,,,3.1,1
1/1/2014 5:46,8.2,1,,,5,1,596,1,,,,,3,1
1/1/2014 6:01,8.2,1,,,4.8,1,604,1,,,,,2.9,1
1/1/2014 6:16,8.1,1,,,4.8,1,608,1,,,,,3,1
1/1/2014 6:30,8.2,1,,,5.1,1,600,1,,,,,3.2,1
1/1/2014 6:46,8.2,1,,,4.8,1,591,1,,,,,2.9,1
