"station","parameter","time","value","unit","qaqc_flag_id"
"FRK","WaterTemperature",2022-09-01 00:00:00,22.42,"°C","G"
"FRK","WaterTemperature",2022-09-01 00:15:00,22.37,"°C","G"
"FRK","WaterTemperature",2022-09-01 00:30:00,22.3,"°C","G"
"FRK","WaterTemperature",2022-09-01 00:45:00,22.25,"°C","G"
"FRK","WaterTemperature",2022-09-01 01:00:00,22.21,"°C","G"
"FRK","WaterTemperature",2022-09-01 01:15:00,22.19,"°C","G"
"FRK","WaterTemperature",2022-09-01 01:30:00,22.15,"°C","G"
"FRK","WaterTemperature",2022-09-01 01:45:00,22.11,"°C","G"
"FRK","WaterTemperature",2022-09-01 02:00:00,22.1,"°C","G"
"FRK","WaterTemperature",2022-09-01 02:15:00,22.08,"°C","G"
"FRK","WaterTemperature",2022-09-01 02:30:00,22.06,"°C","G"
"FRK","WaterTemperature",2022-09-01 02:45:00,22.04,"°C","G"
"FRK","WaterTemperature",2022-09-01 03:00:00,22.02,"°C","G"
"FRK","WaterTemperature",2022-09-01 03:15:00,21.97,"°C","G"
"FRK","WaterTemperature",2022-09-01 03:30:00,21.93,"°C","G"
"FRK","WaterTemperature",2022-09-01 03:45:00,21.9,"°C","G"
"FRK","WaterTemperature",2022-09-01 04:00:00,21.86,"°C","G"
"FRK","WaterTemperature",2022-09-01 04:15:00,21.8,"°C","G"
"FRK","WaterTemperature",2022-09-01 04:30:00,21.82,"°C","G"
"FRK","WaterTemperature",2022-09-01 04:45:00,21.85,"°C","G"
"FRK","WaterTemperature",2022-09-01 05:00:00,21.86,"°C","G"
"FRK","WaterTemperature",2022-09-01 05:15:00,21.87,"°C","G"
"FRK","WaterTemperature",2022-09-01 05:30:00,21.87,"°C","G"
"FRK","WaterTemperature",2022-09-01 05:45:00,21.87,"°C","G"
"FRK","WaterTemperature",2022-09-01 06:00:00,21.87,"°C","G"
"FRK","WaterTemperature",2022-09-01 06:15:00,21.87,"°C","G"
"FRK","WaterTemperature",2022-09-01 06:30:00,21.87,"°C","G"
"FRK","WaterTemperature",2022-09-01 06:45:00,21.88,"°C","G"
"FRK","WaterTemperature",2022-09-01 07:00:00,21.89,"°C","G"
"FRK","WaterTemperature",2022-09-01 07:15:00,21.9,"°C","G"
